PLAYER,TEAM,OFFRTG,DEFRTG,NETRTG,AST%,ASTTO,ASTRAT,OREB%,DREB%,REB%,TORAT,EFG%,TS%,USG%,PACE,PIE,POSS
Zhaire Smith,PHI,118.1,110.8,7.3,10.1,1.67,18.5,2.8,8.7,5.8,11.1,50,53.3,16.6,103.49,5.4,237
Haywood Highsmith,PHI,103.4,131,-27.6,6.7,2,14.3,0,14.3,6,7.1,45,41.4,11.5,105.57,3.8,88
Isaac Humphries,ATL,97.7,114.7,-17.1,0,0,0,5.5,12.3,8.5,0,35.7,35.7,14.2,109.72,1.2,129
Mitchell Creek,MIN,105,96.1,8.9,18.8,6,23.1,10.9,10.5,10.7,3.8,50,55,16.9,102.82,14,100
Billy Garrett,NYK,97.8,106.4,-8.6,18.9,3.5,18.4,0,4.1,2.2,5.3,40.7,45.2,21.5,104.42,6.3,136
Troy Caupain,ORL,125,100,25,40,0,33.3,7.1,15.4,11.1,0,62.5,62.5,21.6,98.25,21.8,32
Donte Grantham,OKC,66.7,120,-53.3,0,0,0,0,0,0,0,0,0,33.3,108.57,-18.2,6
Emanuel Terry,MIA,117.6,112,5.6,12.5,1,15.4,14.3,23.5,18.4,15.4,57.1,57.1,18.3,106.64,11.6,51
Trevon Duval,HOU,107.7,100,7.7,66.7,0,40,0,20,12.5,0,83.3,83.3,23.1,107.08,22.2,13
Angel Delgado,LAC,75.8,68.8,7,0,0,0,8.3,14.3,10.5,0,20,25.5,15,105.64,0,33
Dusty Hannahs,MEM,91.2,108.8,-17.5,35.7,5,26.3,0,3.6,1.6,5.3,25,31.1,22.2,105.57,4.1,57
J.P. Macura,CHA,89.5,91.7,-2.2,20,0,18.2,0,14.3,7.3,0,33.3,33.3,20.9,105.5,8.3,38
Kostas Antetokounmpo,DAL,104.5,87,17.6,0,0,0,0,11.1,5.6,16.7,0,21,24,102.21,-3.3,22
Vincent Edwards,HOU,109.1,115.2,-6.1,0,0,0,5.9,5.9,5.9,0,37.5,37.5,11.1,100.78,2.3,33
Yante Maten,MIA,100,85.2,14.8,0,0,0,7.1,9.5,8.6,0,25,25,13.3,99.44,6.3,27
George King,PHX,100,175,-75,0,0,0,0,25,9.1,0,0,0,0,97.63,3.2,12
Joe Chealey,CHA,87.5,113.3,-25.8,25,0,25,0,0,0,0,33.3,33.3,17.6,96,0,16
Jordan Sibert,ATL,133.3,170,-36.7,0,0,0,0,0,0,0,150,150,8.3,107.72,9,9
Tahjere McCall,BKN,142.9,78.9,63.9,0,0,0,0,20,8.3,0,66.7,58.1,13.6,120.5,3.3,21
Tyler Davis,OKC,0,0,0,0,0,0,50,0,33.3,0,0,0,33.3,78.98,100,2
Zach Lofton,DET,100,100,0,0,0,0,0,0,0,50,0,0,25,102.4,-5.6,8
Terence Davis,TOR,111.8,103.9,7.9,14,1.51,17.7,3.9,13.7,9,11.7,56.4,58.8,18.1,102.12,10.1,2571
Grant Williams,BOS,109.9,103.5,6.3,8.5,1.36,19.3,5.3,10.6,7.9,14.2,46.9,50.5,11.2,102.84,3.8,2230
Ja Morant,MEM,107.5,108.1,-0.6,35.4,2.22,27.4,2.4,9,5.9,12.3,50.9,55.6,25.6,103.79,13,4491
Kendrick Nunn,MIA,110.3,109.1,1.2,18.2,1.93,17,1.1,7.9,4.6,8.8,51.4,53.4,23.6,99.1,8.6,4058
Coby White,CHI,104.4,108.8,-4.4,16.2,1.61,15.5,1.5,12.8,6.7,9.7,47.8,50.6,23.5,102.51,8.7,3573
Matisse Thybulle,PHI,107.7,105.3,2.4,8.1,1.55,19.1,3.3,4.9,4.1,12.3,52.8,53.9,10.8,102.32,4.4,2731
Jaxson Hayes,NOP,107.9,109.7,-1.8,7.4,1.06,12.4,8.5,14,11.3,11.8,67.4,68.9,14.6,107.38,9.6,2409
De'Andre Hunter,ATL,108,113.6,-5.5,7.9,1.09,11.7,2.1,11.6,6.8,10.7,48.9,52.1,17.3,103.96,5.8,4362
Jarrett Culver,MIN,106,109.3,-3.3,10.5,1.36,13.5,4.1,9.2,6.5,10,46.2,46.7,18.7,105.22,5.5,3304
Darius Bazley,OKC,98.9,102.1,-3.2,5.4,0.91,9.5,2.5,17.2,10.1,10.4,47.2,49.7,14.6,101.87,8.7,2396
Eric Paschall,GSW,103.6,114.2,-10.6,12.6,1.35,13.4,4.7,11.6,8.1,9.9,52.6,57.1,20.7,102.09,9.6,3516
Nicolo Melli,NOP,105.9,110.3,-4.3,11.2,1.78,16.9,3.4,13.2,8.2,9.5,52.8,55.6,15.8,103.89,7.2,2260
Darius Garland,CLE,105.2,113.8,-8.7,18.2,1.52,20.6,1.4,4.6,3,13.6,47.6,49.8,20.1,100.37,5.7,3830
Brandon Clarke,MEM,107.7,107.8,-0.1,9.2,1.47,12.3,6.7,17.7,12.4,8.3,64.2,66.3,18,106.13,13.9,2866
Cam Reddish,ATL,106.9,113.2,-6.3,7.9,0.91,11,2.1,11,6.5,12.1,45.9,50,18.5,105.58,5.9,3398
P.J. Washington,CHA,103.9,110.1,-6.3,11.5,1.32,14.2,3.2,14.5,8.7,10.8,52.8,54.7,18.4,97.23,8.3,3564
Cameron Johnson,PHX,109.3,108.3,1,7.8,2.16,13,3.7,10.9,7.2,6,56.5,58.6,15.1,103.9,8.2,2710
Jordan Poole,GSW,101.8,110,-8.2,16,1.81,17.8,0.7,8.7,4.5,9.8,40.6,45.4,20,103.47,5.1,2759
Bruno Fernando,ATL,102,107.6,-5.6,10.1,1.17,15.8,8.5,17.9,13.1,13.5,53,54.2,14.7,103.78,7.9,1537
RJ Barrett,NYK,105.4,114.5,-9.1,12.7,1.15,12.9,2.7,13.4,7.8,11.2,44.5,47.9,23.4,100.72,7.2,3577
Michael Porter Jr.,DEN,113,112.4,0.7,7.4,0.94,9,7,21.4,14.1,9.6,59,61.7,21.1,101.26,12.3,1909
Tyler Herro,MIA,107.9,109.6,-1.7,13.1,1.39,13.8,1.1,13.1,7.2,9.9,52,55,21.3,100.21,9.9,3164
Goga Bitadze,IND,102.2,103.7,-1.4,6.6,0.82,10.6,5.2,14.6,10.3,12.9,49.3,52.3,17,105.77,7.2,1039
Kevin Porter Jr.,CLE,102,113.2,-11.2,14.7,1.17,16.4,1.8,12.1,6.8,14,50.5,53.5,20.2,100.15,6.9,2416
Cody Martin,CHA,104.5,107.7,-3.2,15.4,2.16,25.4,3.9,14,8.6,11.8,47.3,50.5,13.1,98.77,7.6,1853
Javonte Green,BOS,103.7,106.2,-2.6,7.9,1.13,13.3,5.1,13.4,9.4,11.8,53.6,56.4,14.9,103.57,8.6,1007
Nassir Little,POR,109.5,112.7,-3.2,5,1.47,10.6,4.8,12,8.4,7.2,47.7,50.5,13.1,104.18,5,1236
Rui Hachimura,WAS,108.5,116.7,-8.2,8.8,1.64,11.6,5.1,15.5,10.1,7.1,48.9,53.5,18.9,103.46,9.1,3113
Nickeil Alexander-Walker,NOP,110,113.5,-3.6,21.2,1.65,20.9,1.5,12.2,6.8,12.7,45.5,47.3,23.3,104.6,6.9,1283
Ky Bowman,GSW,99.8,108.2,-8.4,20.2,1.87,24.3,2.2,9.3,5.7,13,46.9,49.4,16.8,101.63,6.7,2153
Chris Silva,MIA,103.8,109.8,-6,10.3,0.72,14.4,16.2,18.4,17.3,20,61.5,65.1,15.5,103.06,8.4,739
Marko Guduric,MEM,104.4,107.1,-2.6,12.7,1.25,18.2,2.8,11.5,7.2,14.6,47.5,51.4,16.8,105.41,6.6,1062
Daniel Gafford,CHI,102.6,104.5,-1.9,5.1,0.72,10,8.1,9.2,8.7,13.7,70.1,68.6,13.1,102.14,7.6,1294
Matt Thomas,TOR,106,101.8,4.2,7.6,1.38,11.5,1.8,10,6,8.3,64.3,65,15.2,103.96,9.3,965
Terance Mann,LAC,103.1,103,0.1,20.9,2.94,32.7,2.6,11.2,7,11.1,51.3,54.5,12.3,105.91,7.4,796
Sekou Doumbouya,DET,104,114.8,-10.8,3.7,0.54,6.2,2.6,13.7,7.9,11.4,44.9,47.4,16.4,98.84,3.9,1548
Carsen Edwards,BOS,94.9,100.4,-5.5,11.1,1.6,13.8,1.4,10.7,5.9,8.6,42.2,44.4,17.1,105.1,5.2,765
Justin James,SAC,97.8,100.2,-2.4,11.8,2.25,15,2.4,11.1,6.6,6.7,47,47.7,18.1,105.56,7.5,504
Luguentz Dort,OKC,112.6,108.3,4.4,4.5,1.23,9.4,3,6.6,4.9,7.7,46.3,50.6,13.9,100,3.4,1700
Admiral Schofield,WAS,102.9,110,-7.1,5.7,2.14,12.4,1.7,10.6,5.9,5.8,48.4,50.2,11.8,103.13,3.5,791
Chris Clemons,HOU,98.9,107.7,-8.8,16.2,1.42,14,1.2,8,4.6,9.8,53.2,54.8,23.5,106.65,8.5,643
Romeo Langford,BOS,111.1,102.2,8.9,4.5,1.18,11.2,3.8,6.5,5.2,9.5,38.1,43.4,11.3,102.2,2.4,786
Kelan Martin,MIN,101.4,103.1,-1.7,7.1,1.15,9.7,2.1,15.4,8.5,8.4,46.1,50.6,17.1,106.45,7.7,1096
