PLAYER,TEAM,OFFRTG,DEFRTG,NETRTG,AST%,ASTTO,ASTRAT,OREB%,DREB%,REB%,TORAT,EFG%,TS%,USG%,PACE,PIE,POSS
Yves Pons,MEM,85.3,106.5,-21.3,2.4,1,5.3,5.5,8.2,6.8,5.3,40.6,38.5,9.6,104.49,2.9,156
Braxton Key,DET,113.2,105.2,8,7.7,1,11.1,5.8,18.7,11.8,11.1,50,50.8,18.4,102.5,8.4,418
Myles Powell,PHI,106.3,121.4,-15.1,8.8,1,12.5,1.9,9.8,5.8,12.5,32.4,36.4,16.3,102.79,-0.3,111
Trevelin Queen,HOU,112.9,107.3,5.6,7.4,0.57,8.9,9.1,13.4,11.1,15.6,59.1,61.9,21.9,105.43,10.8,163
Xavier Moon,LAC,112.9,111.5,1.4,24.5,4,28.9,1.4,7.2,4.5,7.2,53.9,54.5,17.7,103.08,10,294
Jeff Dowtin Jr.,ORL,97.4,109.6,-12.3,13.9,2,24.4,6.5,9.7,8,12.2,32.7,35.3,11.9,101.76,5,230
Marko Simonovic,CHI,105.4,104.2,1.2,0,0,0,12.2,11.9,12,9.1,30,42.8,24.7,99.59,3.3,74
Xavier Sneed,UTA,93.8,97.6,-3.8,3.6,0,9.1,4.1,11.1,7.1,0,25,25,10.9,101.04,0.6,80
Hassani Gravett,ORL,105.8,107.6,-1.8,17.7,2.22,29,0.6,11.4,6.3,13,61.8,62.9,13,95.95,8.4,344
Joel Ayayi,WAS,94.7,82.5,12.2,36.4,0,40,3.7,10.5,6.5,0,16.7,16.7,13.3,92.6,5.9,38
Aaron Henry,PHI,71.1,127,-56,0,0,0,0,4.8,2.4,28.6,20,20,14.9,105.99,-7.9,38
Aleem Ford,ORL,98.6,120.7,-22.1,4.3,0.5,7.7,2.8,16,9.9,15.4,35,35,14.8,93.68,2.2,142
Carlik Jones,DEN,88.7,121.8,-33.1,41.7,1.67,27.8,4.2,6.9,5.7,16.7,11.1,20.2,22,111.44,1.6,53
Chaundee Brown Jr.,ATL,104.1,112.8,-8.7,5.6,4,10,0.9,13.9,7.1,2.5,40.6,44.7,14.6,101.18,4.9,218
McKinley Wright IV,MIN,102.4,128.2,-25.8,23.1,3,42.9,0,0,0,14.3,83.3,83.3,8.2,103.04,6,42
Eugene Omoruyi,DAL,100,88.1,11.9,16.7,0,22.2,11.1,27.8,19.4,0,50,51.8,15.6,110.46,13.8,40
Gabriel Lundberg,PHX,121.4,103.1,18.3,26.8,3.67,33.3,4,11.9,7.6,9.1,34.2,34.2,19.1,105.88,4.7,98
JaQuori McLaughlin,DAL,100,134.6,-34.6,20,0,50,0,0,0,0,0,0,6.5,114.5,-2.1,26
Jay Huff,LAL,88.6,52.2,36.5,7.1,1,20,4,11.1,7.7,20,0,0,8.3,106.67,2,44
Jordan Schakel,WAS,101.6,93.8,7.9,0,0,0,6.3,18.8,12.5,7.7,13.6,21,19.1,99.12,2.1,61
Moses Wright,DAL,100,121.9,-21.9,18.2,0,28.6,8.3,14.3,11.5,0,25,47,13.9,104.25,10.6,32
Zavier Simpson,OKC,98.6,125.1,-26.5,25,3,31.9,1,11.4,5.8,10.6,37.5,40.6,15.8,97.75,5.9,354
Cameron McGriff,POR,122.3,115.1,7.3,8.6,0,16.7,9.8,20.9,14.4,0,42.9,47,12.2,97.64,8.4,94
Cat Barber,ATL,131,96.4,34.6,20,3,30,9.1,28.6,16.7,10,0,0,21.9,106.46,-7.4,29
Craig Sword,WAS,102.9,94.6,8.3,10,1,16.7,0,0,0,16.7,75,75,12.5,91.03,3.3,35
Jarron Cumberland,POR,144,103.8,40.2,10,0,33.3,5.9,18.2,10.7,0,50,50,6.1,99.38,5.8,25
Jon Teske,MEM,82.4,89.5,-7.1,16.7,0,33.3,0,28.6,11.1,0,0,0,10,111.6,0,17
Micah Potter,DET,60.3,116.7,-56.4,0,0,0,9.5,12.5,11,8.3,45.5,50.5,14.8,112.51,9.3,73
Arnoldas Kulboka,CHA,50,150,-100,0,0,0,0,0,0,0,0,0,7.1,108.68,-11.4,12
David Johnson,TOR,50,125,-75,0,0,0,0,0,0,0,0,0,14.3,120.91,-16.7,6
Feron Hunt,NYK,72.2,82.4,-10.1,20,1,25,9.1,0,4.2,25,0,0,13.6,100.4,-8.3,18
Gabe York,IND,105.8,120.4,-14.6,22.2,4,28.6,0,14.3,6.1,7.1,35.7,43.5,17.9,113.78,4.4,52
Jaden Springer,PHI,69.2,141.7,-72.4,0,0,0,14.3,12.5,13.3,50,100,100,11.8,106.51,18.4,13
Jordan Goodwin,WAS,40,150,-110,0,0,0,0,20,7.7,0,0,0,25,72.81,-28.6,10
MJ Walker,PHX,70,89.5,-19.5,16.7,0,20,0,14.3,4.8,0,0,0,13.8,111.52,-5,20
Mac McClung,LAL,124.5,105.4,19.2,5.9,0.33,10,0,10.7,6.7,30,58.3,62.1,16.4,107.29,2.4,53
Paris Bass,PHX,94.4,93.8,0.7,0,0,0,20,22.2,21.1,22.2,33.3,43.6,36,110.52,8.9,18
Rob Edwards,OKC,50,109.1,-59.1,0,0,0,0,21.4,10.3,20,37.5,37.5,22.7,92.9,8,20
Scottie Lewis,CHA,100,111.8,-11.8,20,0,50,0,0,0,0,0,56.8,5.9,117.25,8,15
Shaq Buchanan,MEM,108.7,117.4,-8.7,25,1,25,9.1,14.3,11.1,25,25,25,21.4,112.46,1.2,23
Trevon Scott,CLE,104,84.6,19.4,0,0,0,7.1,8.3,7.7,0,50,50,20.7,107.68,9.8,25
Ade Murkey,SAC,33.3,66.7,-33.3,0,0,0,0,0,0,0,0,0,0,98.18,0,3
Ahmad Caver,IND,200,66.7,133.3,0,0,0,0,0,0,0,100,100,50,142.29,40,2
DeJon Jarreau,IND,200,100,100,0,0,0,0,0,0,0,0,0,0,111.41,0,2
Jaime Echenique,WAS,20,50,-30,0,0,0,0,0,0,0,0,0,0,70.43,0,5
Javin DeLaurier,MIL,171.4,114.3,57.1,0,0,0,0,25,20,0,0,0,0,120,5.1,7
Jaysean Paige,DET,43.8,113.3,-69.6,33.3,1,20,0,9.1,4.3,20,0,0,21.1,112.44,-28.6,16
Matt Ryan,BOS,116.7,91.7,25,0,0,0,0,0,0,0,30,30,35.7,109.71,0,12
Trayvon Palmer,DET,78.8,111.8,-33,0,0,0,0,13.3,6.5,50,0,0,5.3,95.87,-3.7,33
Tyler Hall,NYK,40,140,-100,0,0,0,0,0,0,0,0,0,0,124.14,0,5
Tari Eason,HOU,108.6,113.4,-4.8,7.5,0.87,9.7,10.1,17.2,13.4,11.1,49.3,52.5,18.4,101.96,9.5,3765
Keegan Murray,SAC,118.8,117.1,1.7,5.3,1.63,10.1,3.8,12.3,8,6.2,58.4,59.7,15.6,101.2,7.3,5028
Shaedon Sharpe,POR,110.8,118.4,-7.6,7.9,1.13,10.8,3.7,10.2,6.9,9.5,55.1,56.8,18.6,100.99,7.1,3737
Jabari Smith Jr.,HOU,109.1,120.4,-11.3,5.9,0.97,8.5,4.7,18,11.2,8.7,47.5,51.4,18.3,100.35,7.7,5133
Bennedict Mathurin,IND,111.5,115.8,-4.3,7.8,0.76,8.2,3.7,10.3,6.9,10.8,48.7,56.6,23.5,103.25,8.7,4792
Christian Braun,DEN,107,111.3,-4.3,7,1.69,14.4,4.2,11.2,7.8,8.5,55.4,56.8,12.7,99.87,6.7,2454
Andrew Nembhard,IND,112.3,118.2,-5.9,22.2,2.71,30,1.6,7.8,4.7,11.1,51.2,52.8,15.9,102.78,6.8,4439
Jalen Williams,OKC,111.6,112.6,-1,15.2,2.02,19.9,3.5,10.9,7.1,9.9,56.7,60.1,18,103.46,10.2,4903
Jaden Ivey,DET,107.1,120.1,-13,26.9,1.63,21.9,3,9.4,6.2,13.4,47.7,52.8,25.1,100.5,8.1,4818
Walker Kessler,UTA,115.7,112.7,3,5.7,1.19,11.4,13.3,20.5,17,9.6,72.1,70.2,13,101.47,12.8,3585
AJ Griffin,ATL,113.6,112,1.5,7,1.74,10.9,2.6,8,5.3,6.3,56,57.7,17.4,102.67,7.7,3005
Paolo Banchero,ORL,111.1,115.3,-4.2,17.1,1.35,14.7,3.5,17.4,10.4,10.9,46.5,52.9,27.2,100.66,10.8,5095
David Roddy,MEM,110.6,112.5,-1.9,6.4,1.04,10.4,3.7,10.7,7.1,10.1,50.6,51.9,16.3,102.6,5.6,2686
Jalen Duren,DET,108,116.2,-8.3,6.9,0.82,11.8,13,22.1,17.4,14.5,64.8,65.5,13.9,100.27,11.6,3493
Malaki Branham,SAS,108.3,119.4,-11.1,11.2,1.67,15,1.7,9.8,5.7,9,50.3,52.4,18.8,104.36,6.5,3374
Dyson Daniels,NOP,107.1,106.7,0.4,17.2,2.35,32.2,3.5,14,8.9,13.7,48.3,50.3,11.3,103.17,6.8,2233
Ochai Agbaji,UTA,114.4,114.6,-0.2,7.2,1.63,12.8,3.4,5.8,4.7,7.8,53.2,56.1,15.4,103.39,5.2,2598
Christian Koloko,TOR,112.7,103.7,9,5,1.55,13.5,9.4,11,10.1,8.7,48.3,51.7,10,100.54,4.6,1682
Jabari Walker,POR,104.8,113.8,-9,8,1.17,12.1,7.4,13.5,10.4,10.3,46,49.6,16.4,103.03,6,1331
Jeremy Sochan,SAS,110.6,117.6,-7,13.2,1.46,16.9,6,14,9.8,11.5,48.3,50.9,19.5,102.37,7.4,3101
MarJon Beauchamp,MIL,105.8,112.9,-7.2,7.2,0.78,10.3,5,10.3,7.6,13.2,49.2,51.3,17.5,103.07,5.1,1510
Simone Fontecchio,UTA,105.2,118.3,-13.1,7.9,1.08,10.2,3.6,7,5.2,9.5,47,49.5,19.2,104.96,4.6,1681
Caleb Houstan,ORL,107.6,112.9,-5.3,5.1,1.67,12.6,4.1,8.3,6.2,7.6,48.9,50.8,10.7,100.65,3.8,1706
Jaylin Williams,OKC,111.1,115.7,-4.6,10.9,2.05,20.5,4.5,23,13.1,10,53.4,55.9,13.3,102.18,8,1946
Jaden Hardy,DAL,112.5,115.6,-3.1,14.7,1.41,13.6,1.5,10.6,6.1,9.6,53.3,57.1,24.8,101.37,9,1502
Bryce McGowens,CHA,102.6,112.3,-9.7,9.8,1.26,16.2,2.5,8.8,5.7,12.9,46,51.9,14.7,103.04,5.3,1696
Mark Williams,CHA,105.6,110.3,-4.7,3.3,0.45,5.1,10.6,23.2,17,11.4,63.7,65.9,16.8,102.35,13.3,1767
Max Christie,LAL,106.1,113.2,-7.1,5.4,1.62,14.2,1.2,12.6,6.8,8.8,53.8,56.6,10,103.55,5.8,1106
Ousmane Dieng,OKC,110.3,107.4,2.9,10.8,1.77,17.5,3,14.1,8.5,9.9,49.2,50.5,15.4,102.67,7.4,1218
Dalen Terry,CHI,104.8,101.5,3.3,15.7,2.75,19.6,5.6,11.7,8.7,7.1,49.3,52.3,17.3,102.64,9.1,456
Blake Wesley,SAS,103.3,116.7,-13.4,20.1,1.51,24.6,1.6,10.1,5.7,16.3,36.7,39.3,18,104.74,3.1,1459
Kennedy Chandler,MEM,103,108.4,-5.4,27.8,3.22,35.4,2.9,10.3,6.4,11,43.4,44,15,103.33,8.5,602
AJ Green,MIL,107.9,112.8,-4.9,9.2,2.44,14,1.6,10.5,6.1,5.7,60,60.7,15.9,102.9,7.6,744
Jake LaRavia,MEM,106.4,113.9,-7.6,6.8,1.17,15.2,4.4,10,7.2,13,51.6,53.1,11.7,102.42,4,879
Kevon Harris,ORL,110,109.7,0.3,4.9,0.76,10,5.7,9.2,7.4,13.1,51.4,56.4,12.9,100.87,5.1,959
Orlando Robinson,MIA,110.3,106.6,3.8,8.6,1.56,17.5,10.8,20.1,15.1,11.2,52.8,56.5,11.6,97.6,8.6,862
Patrick Baldwin Jr.,GSW,100.8,113.2,-12.3,8.3,1,8.2,0.4,18.8,9.1,8.2,54.1,54.6,22.7,102.65,9.2,487
TyTy Washington Jr.,HOU,104.9,111,-6.1,15.2,3.36,20.5,0.4,9.9,4.9,6.1,42.2,43.2,17,100.83,5.7,913
Wendell Moore Jr.,MIN,99.4,112.9,-13.5,16.2,2.25,25.4,2.5,8.6,5.6,11.3,44.2,46.5,13.9,108.48,6,342
Dominick Barlow,SAS,105.2,115.9,-10.7,7.9,1.6,17.8,10,13.1,11.5,11.1,53.5,56.7,10.7,105.11,6.4,887
Johnny Davis,WAS,101.7,107.9,-6.2,10,1.65,12.3,2,12.5,7,7.5,43.6,44.6,19.2,102.68,5.1,905
Kenneth Lofton Jr.,MEM,103.3,116.7,-13.4,19.8,1.67,14.7,9.7,19.8,14.3,8.8,55.9,57.2,26.7,99.98,12.9,367
Peyton Watson,DEN,101.6,113.5,-12,8.7,1.38,12.6,4.3,13.9,9.3,9.2,54.2,55.3,17.4,98.91,8.7,383
Moussa Diabaté,LAC,109.2,112.4,-3.2,2.9,0.44,6.1,13.7,10.6,12.3,13.6,52.1,54.6,12.5,102.39,6.8,413
John Butler Jr.,POR,100.6,116.7,-16.1,6.6,11,16.7,1.2,6.5,3.6,1.5,39.6,41.1,10.2,104.97,2.4,487
Jamal Cain,MIA,108,102.5,5.5,7.6,2,12.9,6.4,14.2,10.5,6.5,61.4,64.7,13.9,102.78,11.4,511
Johnny Juzang,UTA,97.8,115.6,-17.7,5.1,2.67,6.8,2.9,12.2,7.3,2.6,40.9,41.1,18.7,105.09,4.9,510
Jack White,DEN,90.4,104.5,-14.1,9.3,2,15.4,8.6,17.7,12.9,7.7,50,51.7,13.3,97.41,8.7,135
Julian Champagnie,SAS,108.2,118.8,-10.6,4.3,0.91,6.4,2.7,14.7,8.5,7.1,58.1,60,18.1,104.51,8.6,697
Keon Ellis,SAC,98,112.2,-14.3,13.6,6,23.1,5.6,6.3,6,3.8,62.5,62.9,12.4,99.57,6.7,147
Tyrese Martin,ATL,106.7,104.4,2.3,4.4,1,7.1,6.5,10.9,8.5,7.1,41.3,44,16.4,99.6,5.4,135
A.J. Lawson,DAL,96.3,116.4,-20.1,3.2,0.67,3.8,4.6,15.2,9.1,5.8,61.4,58.9,18.9,105.96,7.6,240
Dru Smith,BKN,100.3,109.1,-8.8,20.6,7.33,31,1.2,13.2,7.2,4.2,45.6,47.5,13.3,100.44,7.6,332
Josh Minott,MIN,116.3,105.9,10.4,6.5,1.67,10.4,5.4,19.4,12.8,6.3,52.8,58.2,17.6,109.99,10.6,221
Nikola Jovi?,MIA,105.7,109.2,-3.5,7.6,1,10.3,4.3,11.9,7.9,10.3,46.4,53,18.5,99.19,7,422
Vince Williams Jr.,MEM,89.2,104,-14.8,6.2,0.8,8,3,12,6.7,10,35,36.7,17.6,102.57,2.4,223
Jared Rhoden,DET,114.9,110.6,4.3,2.8,1.33,7.4,5.5,13.5,9.4,5.6,44.3,48.2,10.6,98.85,4.1,409
Jason Preston,LAC,110,111.6,-1.6,30.7,2.7,34.2,1.4,17.5,8.4,12.7,50,48.9,16.6,102.38,9.4,261
Isaiah Mobley,CLE,105.9,86.1,19.8,5.4,3,8.8,5.3,17.4,11.9,2.9,48.2,52.1,16.6,97.72,11.1,170
JD Davison,BOS,102.9,108.7,-5.8,23.4,2.75,31.4,3.3,9.3,6.7,11.4,47.4,47.8,15.7,101.54,6.9,140
Ryan Rollins,GSW,73.2,111.3,-38.1,21.4,0.38,13.3,4.3,15.3,9.3,35.6,42.5,50.8,26,104.78,0.9,138
Buddy Boeheim,DET,105.9,103.2,2.7,5.9,0,12.5,2.2,4.3,3.2,0,25.9,28.7,13.1,99.57,-0.3,186
Xavier Cooks,WAS,114.8,107.3,7.4,6.1,0.75,12.8,11.3,15.2,13.3,17,60.7,58.6,12.7,108.76,7.8,284
Jordan Hall,SAS,94.9,108,-13.1,22,1.57,22,3.3,12.9,7.5,14,37.5,43.8,19.7,101.91,5.4,175
Quenton Jackson,WAS,104.6,111.3,-6.7,15.5,3.75,21.1,1.4,4.4,2.9,5.6,46.4,54.2,16.4,107.53,7.1,303
Ron Harper Jr.,TOR,119.8,98,21.8,10.8,0,20,5.4,9.3,7.1,0,59.4,60.8,13.6,98.02,9.8,96
Cole Swider,LAL,116.5,113.2,3.3,10.5,0,30.8,2.4,15.8,8.8,0,50,50,8.9,106.18,5.5,91
Kendall Brown,IND,107.2,99,8.2,9.1,1.5,23.1,5.1,8.9,7.1,15.4,57.1,57.1,9.3,117.93,4,97
Scotty Pippen Jr.,LAL,89.4,90.9,-1.5,12.5,1,10,5,5.7,5.3,10,37.5,43.9,23.1,100.52,5.1,66
Dereon Seabron,NOP,116,79.2,36.8,0,0,0,6.7,0,2.9,0,40,40,15.6,101.38,1.1,25
Jamaree Bouyea,MIA,106.5,119.7,-13.2,9.1,1,17.4,1.6,8.6,4.9,17.4,50,50.4,12,93.57,3.9,138
Nate Williams,POR,109.7,120.7,-11,10,2.5,18.5,7,3.9,5.6,7.4,65.4,65.7,13.9,106.95,6.7,279
Trevor Hudgins,HOU,105.3,98.3,7,17.6,3,21.4,0,0,0,7.1,33.3,43.6,17.7,97.41,3.2,57
Darius Days,HOU,109.4,109.6,-0.2,6.7,0,7.1,3.4,22.7,11.8,0,54.2,58.2,21,100.87,14.5,53
Justin Minaya,POR,108.2,120.2,-12,5.6,1,12.9,3,13.5,8,12.9,37,36.3,12.3,105.08,2.2,196
Lester Quinones,GSW,112.2,97.6,14.6,12.5,0.4,13.3,7.1,8.7,8.1,33.3,60,65.4,28.3,108.63,7.3,41
Trevor Keels,NYK,42.1,136.8,-94.7,0,0,0,0,25,10.5,0,37.5,37.5,21.1,113.43,5.8,19
Chima Moneke,SAC,72.2,129.4,-57.2,25,0.5,16.7,25,0,14.3,33.3,50,34.7,25,105.9,-10.5,18
Donovan Williams,ATL,120,60,60,0,0,0,0,40,20,0,40,40,38.5,112.94,16.2,10
Alondes Williams,BKN,83.3,136.4,-53,0,0,0,0,25,11.1,100,0,0,14.3,104.81,-10.8,12
Chance Comanche,POR,95.6,163.6,-68.1,0,0,0,8,6.7,7.5,0,60,51.8,14,102.77,3.9,45
Jacob Gilyard,MEM,101.1,116.1,-14.9,21.2,3.5,58.3,0,9.5,4.4,16.7,50,50,5.2,102.39,5.6,87
Michael Foster Jr.,PHI,0,100,-100,0,0,0,0,0,0,0,0,0,0,92.9,0,2
RaiQuan Gray,BKN,108.2,125.7,-17.5,35,1.75,29.2,7.5,17.6,12.2,16.7,58.3,62.1,20.5,100.56,10.7,73
Stanley Umude,DET,175,80,95,0,0,0,0,0,0,0,0,53.2,50,102.05,25,4
Cason Wallace,OKC,113.9,110,3.9,9.2,2.67,19.2,3.2,7.7,5.6,7.2,60.2,61.2,12.7,101.56,7.1,3574
Chet Holmgren,OKC,118.2,109.2,9,11.2,1.53,14.3,5.6,19.8,13.2,9.3,59.8,63.2,21,102.8,13.3,5150
Jaime Jaquez Jr.,MIA,113.1,110.4,2.8,13.7,1.77,18.1,3.9,9.4,6.7,10.2,53.6,57.4,18.1,98.22,8.4,4319
Keyonte George,UTA,109.6,118.9,-9.3,24.4,1.77,23.3,0.7,9.5,5.1,13.2,48.2,53.3,22.4,100.98,8.1,4264
Brandin Podziemski,GSW,117.5,111.6,5.9,17.6,3.1,27.7,5.8,14.9,10.4,8.9,52.9,54,14.9,100.27,9.4,4120
Brandon Miller,CHA,108.9,119.1,-10.2,11.4,1.33,12,2.5,11.2,6.7,9.1,52.4,55.2,23.5,98.38,8.3,4879
Marcus Sasser,DET,107,115.7,-8.7,26.3,2.62,27.2,0.8,8.5,4.5,10.4,51.6,54.2,19.5,102.01,8.6,2871
Victor Wembanyama,SAS,107.9,111.2,-3.2,21.3,1.05,14.6,7.4,27.3,17.4,13.9,51.9,56.5,31.2,103.4,16.2,4539
Toumani Camara,POR,106.9,111.5,-4.6,7.2,1.04,13.3,7.3,11.9,9.5,12.9,51.6,54.7,13.4,99.35,6.5,3589
Anthony Black,ORL,108,108.9,-1,10.8,1.63,21.2,2.9,9.3,6.1,13,54,56,12.3,100.09,5.4,2423
Duop Reath,POR,109.6,116.8,-7.1,8.8,1.29,10.2,6.9,13.8,10.1,7.9,54.9,57.1,20.2,98.42,8.8,2485
Trayce Jackson-Davis,GSW,114.1,113,1.1,10.3,1.67,15.9,11.4,17.2,14.3,9.5,70.2,69.2,15.7,100.82,12.7,2377
Jordan Hawkins,NOP,113.4,114.3,-0.9,8.4,1.75,11.7,2.4,10,6.1,6.7,50.1,53.3,18.8,100.73,6.7,2450
Ausar Thompson,DET,107.7,113.1,-5.3,10.8,1.43,16.3,7.7,17.3,12.4,11.4,50.5,52.2,16.1,101.67,8.4,3329
Bilal Coulibaly,WAS,107.4,118.4,-11,8.6,1.26,16.1,3.1,11.6,7.2,12.7,50.9,54.3,13.9,103.33,5.7,3687
Amen Thompson,HOU,111.4,109.3,2.1,16.5,1.81,21.4,9.5,18.4,13.7,11.8,54.5,57.6,17.3,102.77,12.1,2965
Kris Murray,POR,106.1,112.1,-6,8.3,1.45,15.3,5.7,10.7,8,10.5,46.3,48.1,13.6,98.81,5.9,2777
Scoot Henderson,POR,106.5,119.6,-13,30,1.58,23.4,2.7,8.3,5.4,14.8,44,48.9,26,99.15,6.7,3638
Gradey Dick,TOR,105.1,119.1,-13.9,7.8,1.36,11.6,2,8.5,5.1,8.6,52.4,54.6,16.7,102.01,5.9,2693
Vasilije Micic,CHA,111.7,114.8,-3.1,30.7,2.65,34.3,1.3,6.3,3.9,13,48.8,52.4,18.9,97.78,7.8,2395
Andre Jackson Jr.,MIL,112.3,119.6,-7.3,11.3,1.79,27.3,7.7,12.7,10.2,15.3,58.5,59.6,9.7,102.32,4.4,1220
Ben Sheppard,IND,118.8,114.2,4.7,7.2,3.53,17.2,1.8,9.2,5.4,4.9,50,52.4,12.5,104.58,4.6,1768
Dereck Lively II,DAL,120.6,115.6,5,6,1.2,13.6,10.6,17.9,14.4,11.4,74.7,72.8,12.4,100.89,10.2,2724
Craig Porter Jr.,CLE,111.7,113.4,-1.6,26.5,2.62,28.4,3.5,13.8,8.8,10.8,53.5,56.4,20.1,97.17,11.3,1313
Nick Smith Jr.,CHA,102.4,114.9,-12.4,13.4,1.51,15,2.3,7.8,4.9,9.9,50,51.1,20.2,97.72,5.6,1479
Julian Strawther,DEN,105.6,115.4,-9.8,12.3,2.04,15.4,0.8,9.6,5.2,7.5,46.2,48.2,19.3,102,5.5,1164
GG Jackson,MEM,104.3,111.4,-7.1,8.2,0.91,7.8,4,11.4,7.6,8.6,51.9,55.4,23.8,100,9.5,2564
Cam Whitmore,HOU,110.6,111.6,-1,5.8,0.72,5.5,4.4,14.8,9.4,7.7,53.9,56.1,25.5,103.65,11,1897
Kobe Brown,LAC,105.7,116.2,-10.5,8.5,2.78,20,4.6,10.5,7.5,7.2,48.9,49,10.4,100.45,4.3,822
Jalen Wilson,BKN,111.4,113,-1.6,9.5,2.37,17.2,6.8,12.8,9.7,7.3,49.2,53.7,13.8,97.01,7.5,1351
Sasha Vezenkov,SAC,113.9,112.6,1.3,5.1,1.58,8.3,5.8,12.9,9.3,5.3,55.8,56.9,17.1,102.51,8.4,1086
Julian Phillips,CHI,112.1,111.7,0.4,5.2,1.3,12.1,3.5,7.7,5.5,9.3,49.4,52.1,12.1,100.9,3,675
Olivier-Maxence Prosper,DAL,99.6,112.8,-13.2,9.5,2.75,14.4,6.2,15.3,10.4,5.2,44.7,49.6,15.3,104.65,8.2,738
Taylor Hendricks,UTA,110.2,118.2,-8.1,5.1,1.19,10.3,5.3,15.9,10.6,8.7,56,57.8,13.5,101.11,7.4,1802
Rayan Rupert,POR,104.3,114,-9.8,13.1,2,23.3,3.4,11.5,7,11.7,42.2,45.1,13.1,99.68,4.3,1317
Maxwell Lewis,LAL,73.1,105.8,-32.6,10.9,0.6,15.8,1.8,1.9,1.9,26.3,21.4,24.6,12.7,105.73,-3.1,227
Jarace Walker,IND,117.3,114.6,2.7,13.8,2.35,23.4,3.6,15.9,9.6,9.9,50.9,52.7,15.5,104.41,8,740
Brice Sensabaugh,UTA,109.3,123.5,-14.2,13.4,1.17,16.3,2.7,15.1,8.8,13.9,46.8,51.1,20.1,101.44,6.5,1236
Ricky Council IV,PHI,112.5,109.8,2.7,8,3.2,9.8,4.6,11.5,7.8,3,53.6,60.4,20.8,103.1,11.1,618
Colby Jones,SAC,104.8,103.3,1.5,15.9,2,19,7.6,12,9.7,9.5,40.8,42.2,17.8,99.51,5.3,399
Jalen Pickett,DEN,102.3,104.8,-2.4,25,2.33,31.3,0.9,10,5.7,13.4,55.7,57.1,16.4,100.31,7.6,257
Leaky Black,CHA,105.1,109.2,-4,11.7,4,27,3.1,13.2,8.1,6.7,56.7,58.9,9.9,99.44,7.9,587
Nathan Mensah,CHA,94.9,114.5,-19.6,4.3,0.64,15.8,8.7,12.7,10.5,24.6,42.9,49.6,6.8,99.71,0.7,633
Trey Jemison III,MEM,106.5,113.8,-7.3,6.9,0.79,13,10.5,13.1,11.7,16.3,55.1,58.2,13.2,98.01,6.6,1161
Collin Gillespie,DEN,111.7,109.2,2.5,16.4,1.93,23.5,0.4,8.5,4.5,12.2,57.2,58.6,16.6,99.78,7.1,470
Gui Santos,GSW,113.4,110.1,3.4,9.7,2,16.7,7.9,15.3,11.5,8.3,60,65.6,14.2,101.95,10.1,409
Noah Clowney,BKN,104.8,111.7,-6.9,7.4,1.2,12.9,6.6,14.6,10.5,10.8,60.2,62.6,13.7,99.61,9.7,767
Onuralp Bitim,CHI,106.6,115.1,-8.5,6.9,1.3,11.9,2.2,9.6,5.8,9.2,45.2,46.4,14.9,99.94,3.5,559
Ibou Badji,POR,95.5,112.3,-16.8,8.8,0.87,23.2,8.1,14,10.9,26.8,63.6,62.3,7.9,100.97,3.3,470
Javon Freeman-Liberty,TOR,102.6,120.7,-18.2,14.3,1.6,19.4,3.8,14.1,8.7,12.1,48.4,54.7,17,102.12,8,856
Chris Livingston,MIL,102.5,116.8,-14.3,7.5,1,14.7,3.7,22.2,13,14.7,52.3,54.7,13.6,104.18,5.3,197
Jalen Hood-Schifino,LAL,88.9,111.9,-23,12.9,0.89,11.1,1.7,9.6,5.7,12.5,24.4,31.6,24.2,103.5,-1.8,235
Jules Bernard,WAS,111.2,104.9,6.3,14.2,2,17.6,5.6,10.6,7.9,8.8,53.9,54.4,18.9,105.63,8.6,331
Hunter Tyson,DEN,100.9,98.1,2.7,5.9,1,8.3,2.2,14.8,9,8.3,50,50,18.6,110.55,3.8,113
Jett Howard,ORL,95.2,91.9,3.3,16.2,2,14.6,1.6,8.2,5.1,7.3,45,45.7,22,106.44,6.7,147
Kobe Bufkin,ATL,97.1,105,-7.9,23.3,2.7,20.5,2.8,13,7.8,7.6,41.8,42.4,22.1,102.12,7.7,416
Leonard Miller,MIN,104.9,101.7,3.2,20,8,26.7,8.9,30,18.9,3.3,70,69.4,15.7,110.84,17.8,123
Tosan Evbuomwan,DET,103.6,119.2,-15.6,6.3,1.78,14.8,4.7,12.2,8.2,8.3,59.2,61.6,10.8,99.06,6.4,752
Colin Castleton,LAL,82.4,117.6,-35.2,10.7,1,12,9.4,11.8,10.4,12,56.3,64.4,15.7,101.56,7.8,125
Terquavion Smith,PHI,112.5,118.4,-5.9,19.4,1.71,17.9,0,4.9,2.3,10.4,53.3,53.9,24.2,112.48,7.2,200
Emoni Bates,CLE,93.3,124,-30.7,12,1.25,14.5,0.7,11,5.4,11.6,40.8,40.4,19.6,97.76,3,270
Jermaine Samuels Jr.,HOU,104.4,114,-9.6,6,0,16.7,5,16.7,10.8,0,64.3,67.2,9.8,108.56,9.6,136
Jalen Slawson,SAC,105.3,114.9,-9.5,7.1,1,20,2.7,16.2,9.5,20,66.7,66.7,8.8,96.71,4.6,75
Sidy Cissoko,SAS,105.8,97.1,8.7,9.5,3.33,18.9,5.5,8.2,6.9,5.7,50,56.8,12.4,105.25,7.1,308
